frame,time_s,centL_x,centL_y,centL_z,vLx,vLy,vLz,vL_sx,vL_sy,vL_sz,uLx,uLy,uLz,thetaL_xy_deg,speedL,centR_x,centR_y,centR_z,vRx,vRy,vRz,vR_sx,vR_sy,vR_sz,uRx,uRy,uRz,thetaR_xy_deg,speedR,is_milestone
0,0.0,-0.18609414994716644,0.13864001631736755,-0.09503448009490967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,-0.18485860526561737,-0.04621920362114906,-0.08612655103206635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1
1,0.03333333333333333,-0.18609414994716644,0.14364002645015717,-0.10003449022769928,0.0,0.005000010132789612,-0.005000010132789612,0.0,0.0020000040531158447,-0.0020000040531158447,0.0,0.7071067811865476,-0.7071067811865476,89.99999997135217,0.0028284328567175876,-0.18485860526561737,-0.05121920630335808,-0.09112655371427536,0.0,-0.005000002682209015,-0.005000002682209015,0.0,-0.0020000010728836062,-0.0020000010728836062,0.0,-0.7071067811865475,-0.7071067811865475,-89.99999997135212,0.002828428642032737,0
2,0.06666666666666667,-0.18609414994716644,0.14864002168178558,-0.1050344854593277,0.0,0.004999995231628418,-0.004999995231628418,0.0,0.0032000005245208744,-0.0032000005245208744,0.0,0.7071067811865476,-0.7071067811865476,89.99999998209506,0.004525484141378438,-0.18485860526561737,-0.056219205260276794,-0.09612654894590378,0.0,-0.004999998956918716,-0.004999995231628418,0.0,-0.00320000022649765,-0.003199998736381531,0.0,-0.707106945822682,-0.7071066165503747,-89.99999998209506,0.0045254826662388635,0
3,0.1,-0.18609414994716644,0.153640016913414,-0.11003448069095612,0.0,0.004999995231628418,-0.004999995231628418,0.0,0.003919998407363892,-0.003919998407363892,0.0,0.7071067811865476,-0.7071067811865476,89.99999998538372,0.005543714912174948,-0.18485860526561737,-0.06121920421719551,-0.10112655162811279,0.0,-0.004999998956918716,-0.005000002682209015,0.0,-0.003919999718666077,-0.003920000314712525,0.0,-0.7071067274278103,-0.7071068349452806,-89.99999998538372,0.0055437171881047844,0
4,0.13333333333333333,-0.18609414994716644,0.1586400270462036,-0.11503449827432632,0.0,0.005000010132789612,-0.005000017583370209,0.0,0.00435200309753418,-0.004352006077766419,0.0,0.7071065390748098,-0.7071070232982023,89.99999998683461,0.006154663911365343,-0.18485860526561737,-0.06621920317411423,-0.10612655431032181,0.0,-0.004999998956918716,-0.005000002682209015,0.0,-0.004351999413967133,-0.004352001261711121,0.0,-0.7071066310771332,-0.7071069312959298,-89.99999998683461,0.006154657901224524,0
5,0.16666666666666666,-0.18609414994716644,0.16364000737667084,-0.12003447115421295,0.0,0.004999980330467224,-0.004999972879886627,0.0,0.004611193990707398,-0.004611192798614502,0.0,0.7071068725877145,-0.7071066897853686,89.99999998757463,0.006521212237454802,-0.18485860526561737,-0.07121920585632324,-0.11112655699253082,0.0,-0.005000002682209015,-0.005000002682209015,0.0,-0.004611200721263886,-0.004611201829910278,0.0,-0.7071066961835968,-0.7071068661894879,-89.99999998757465,0.006521223382767415,0
6,0.2,-0.18609414994716644,0.16864001750946045,-0.12503448128700256,0.0,0.005000010132789612,-0.005000010132789612,0.0,0.004766720447540283,-0.004766719732284546,0.0,0.7071068342379281,-0.7071067281351631,89.99999998798005,0.0067411601991904544,-0.18485860526561737,-0.07621920853853226,-0.11612656712532043,0.0,-0.005000002682209015,-0.005000010132789612,0.0,-0.004766721505641938,-0.004766725151062011,0.0,-0.7071065108014665,-0.7071070515715252,-89.99999998798005,0.006741164779036075,0
7,0.23333333333333334,-0.18609414994716644,0.17363999783992767,-0.13003447651863098,0.0,0.004999980330467224,-0.004999995231628418,0.0,0.004860024400711059,-0.004860029932022095,0.0,0.7071063787990174,-0.7071071835738485,89.9999999882108,0.006873116332178409,-0.18485860526561737,-0.08121921867132187,-0.12112656235694885,0.0,-0.005000010132789612,-0.004999995231628418,0.0,-0.004860036956501007,-0.004860033183288574,0.0,-0.7071070556767047,-0.7071065066962838,-89.99999998821083,0.006873127509454603,0
8,0.26666666666666666,-0.18609414994716644,0.17864002287387848,-0.1350344717502594,0.0,0.005000025033950806,-0.004999995231628418,0.0,0.004916024654006958,-0.004916016051864624,0.0,0.7071073998404667,-0.7071061625320871,89.9999999883451,0.006952302656026626,-0.18485860526561737,-0.08621921390295029,-0.12612655758857727,0.0,-0.004999995231628418,-0.004999995231628418,0.0,-0.004916020266551972,-0.004916018002624511,0.0,-0.7071069440051037,-0.7071066183679539,-89.99999998834508,0.006952300933020521,0
9,0.3,-0.18609414994716644,0.1836399883031845,-0.14003446698188782,0.0,0.00499996542930603,-0.004999995231628418,0.0,0.004949600964126587,-0.004949607723770142,0.0,0.7071062983407385,-0.707107264032027,89.99999998842416,0.006999797591594194,-0.18485860526561737,-0.0912192165851593,-0.1311265528202057,0.0,-0.005000002682209015,-0.004999995231628418,0.0,-0.0049496132328147886,-0.004949608894226074,0.0,-0.7071070910942139,-0.7071064712787453,-89.9999999884242,0.006999807094503185,0
10,0.3333333333333333,-0.18609414994716644,0.18864001333713531,-0.14503447711467743,0.0,0.005000025033950806,-0.005000010132789612,0.0,0.004969770592056274,-0.00496976868737793,0.0,0.7071069166868768,-0.7071066456861924,89.99999998847113,0.0070283156263581045,-0.18485860526561737,-0.09621921926736832,-0.1361265480518341,0.0,-0.005000002682209015,-0.004999995231628418,0.0,-0.004969769012572479,-0.004969763429187011,0.0,-0.707107178393221,-0.7071063839796509,-89.99999998847113,0.007028310791392927,0
11,0.36666666666666664,-0.18609414994716644,0.19363997876644135,-0.15003447234630585,0.0,0.00499996542930603,-0.004999995231628418,0.0,0.004981848526956177,-0.004981859305078125,0.0,0.7071060162818185,-0.7071075460904492,89.99999998849908,0.007045405373797091,-0.18485860526561737,-0.10121922194957733,-0.14112654328346252,0.0,-0.005000002682209015,-0.004999995231628418,0.0,-0.004981862480427094,-0.004981856150163574,0.0,-0.7071072304335612,-0.7071063319392484,-89.99999998849913,0.007045413009526824,0
12,0.4,-0.18609414994716644,0.19864000380039215,-0.15503446757793427,0.0,0.005000025033950806,-0.004999995231628418,0.0,0.004989119129754029,-0.004989113675698242,0.0,0.70710716768773,-0.7071063946851538,89.99999998851585,0.007055676080994423,-0.18485860526561737,-0.10621922463178635,-0.14612653851509094,0.0,-0.005000002682209015,-0.004999995231628418,0.0,-0.004989118561139863,-0.004989111782749512,0.0,-0.7071072615366687,-0.7071063008361002,-89.99999998851585,0.00705567434040718,0
